微博id,微博正文,原始图片url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
Hrg1pdPNr,Akka 10 周年，Lightbend 编辑了一本十周年杂志，汇集了对 akka 设计哲学、应用案例等方方面面的内容，非常值得一读。http://t.cn/EaRAZTA  ,无,无,2019-04-25 14:01,iPhone客户端,28,73,6
HqR6YEUJt,昨天 BFTF 的 meetup 上，有位朋友提了个很好的问题：完全的分布式系统一定会是区块链吗。简短的回答是：作为一种完全的分布式系统，区块链正好处处做对了。  ,无,无,2019-04-22 22:36,iPhone客户端,7,19,2
HqyQIDPow,"Joe Armstrong (27 December 1950 in Bournemouth, England – 20 April 2019)。作为一个独立的生命进程，虽然不与我们共享他的状态，却把他对计算机世界的终极思考通过信息带给了我们。在此表达我对他深深的敬意。  原图 ",http://wx1.sinaimg.cn/large/6fc85a2fgy1g29jr4bzk3j2069069q3q.jpg,无,2019-04-21 00:07,iPhone客户端,60,200,8
HqnMnpFkN,我现在看到举着手机对着我的，一点都不担心了，因为他们多是在拍自己。  ,无,无,2019-04-19 19:56,iPhone客户端,5,4,0
HqbisfE15,究竟区块链会对业务的技术和商业形态带来什么样的变化，随着有必要、“没必要”的业务越来越多地重构到“区块链”，这些碰撞、尝试会带来火花、带来衍变，也会反过来促进 ETH、EOS 等或新的基础平台的完善，使之能更快速、更便捷地在上面开发或重构以往的或新的业务。  ,无,无,2019-04-18 12:09,微博 weibo.com,2,1,4
HqbfsmzhR,一、去年大家还在想，这个那个“落地”项目根本用不着区块链；今年则是，一个项目只要能用区块链那就应该去用。二、统一的那条 ETH 或 EOS 链上虽然可以跑应用，但大部分业务都会有自己的链。三、ETH、EOS 是很好的业务链的技术平台，FIBOS 在 JS 生态从 EOS 入手，Khipu 则在 JVM 生态从 ETH 入手。  ,无,无,2019-04-18 12:02,微博 weibo.com,9,9,3
Hq4lnkVfD,到南京跟 @响马 交流了一下对区块链（产业）的看法，这块基本一致；再聊了会大叔级的身体健康之道，这个响马比我有心得啊。  ,无,无,2019-04-17 18:27,iPhone客户端,15,6,6
HpSnD22Ni,北外滩的老渡口。前班渡轮刚走，我一个人在等下一班。  原图 ,http://wx4.sinaimg.cn/large/6fc85a2fly1g24c8lc6y2j21400u0wot.jpg,无,2019-04-16 12:00,iPhone客户端,11,0,0
HprTpj5ey,十几年前，半路接手了一个快要烂尾的项目，团队已连续加班近一年，但看不到完成的迹象，士气非常低落。我先用了一个月厘清项目的需求、设计和原先存在的问题，然后带着新的设计向甲方和项目团队做了陈述，让大家明白这个项目一定能成功。大家重拾心气，先封闭开发了一个月，见到了一个完整的框架后信心大增，也让我看到大家内心是多么希望自己的辛劳能看到结果和得到承认。接下来的半年大家确实加班很多，我也给大家争取了相应的奖金。但如果这个项目从一开始就是我带，我绝不会让大家长时间加班，我有这个把握。这个项目对我身体摧残最大，影响至今。                                 ,无,无,2019-04-13 16:34,微博 weibo.com,49,23,19
HoWMkdf5w,用 12306 订火车票。12306 app 提示“密码已经很久没有修改“，需要先修改。我进入修改界面填好修改的信息后，点请求验证码，奇迹发生了，app 跳到用户登录界面，需要我输入老密码，然后提示“密码已经很久没有修改“。这是一个死循环，需要外力才能打破。我思考了一下，借助电脑的外力终于成功。  ,无,无,2019-04-10 09:21,微博 weibo.com,8,5,6
HoEi8sTVN,最近一年多，三次回国，都是到北京的一两天内必生病。难不成我以后要绕着北京走。  ,无,无,2019-04-08 10:17,iPhone客户端,5,15,9
HobTC3SDQ,打卡  原图 ,http://wx4.sinaimg.cn/large/6fc85a2fly1g1riztj061j21w02iox6p.jpg,无,2019-04-05 10:00,iPhone 6,10,0,4
HnZgUfcw4,起飞八分钟后。  原图 ,http://wx3.sinaimg.cn/large/6fc85a2fly1g1pz924te4j20ku112wjt.jpg,无,2019-04-04 01:52,iPhone 6,7,0,3
HnH4aiC3d,Khipu 的 Constantinople 分叉的代码测试通过。我也在一台大内存（144G）的机器上跑了一下，这台虽然是老的 HDD 硬盘，也跑出了每秒处理 1.7 个区块，理论 TPS 近 500 的成绩。而在 SATA SSD 的另一台机器上，每秒就是 3.x 个区块，理论 TPS 近 1000 了。  ,无,无,2019-04-02 03:31,iPhone 6,17,0,1
HnB8580Gn,用 khipu 做了一遍以太坊的 fast-sync，现在能连到的节点确实变少了，花了两天时间才同步完。同步到了区块 7464167，数据量为 173G，其中 body 占 70G，header 4.5G，receipts 56G，storage nodes 24G，account nodes 12G，总的 state nodes 数到了 3 亿多条。Constantinople 的代码写完了，明天测测。  ,无,无,2019-04-01 12:24,微博 weibo.com,20,0,0
Hn79bt6cA,经过数月的开发（期间连续两次重感冒），khipu 的 compaction 终于接近完成，单独跑的测试似乎正确，要 stop world 的 GC 部分约 10 秒。代码会先合并到主干，然后把落下的 Constantinople 分叉补上。等过几天到中国，再把 compaction 集成进去。搞这个 compaction 再次证明千万不要自己写数据库。  ,无,无,2019-03-29 08:04,微博 weibo.com,23,9,3
HmN5LnAjW,在 ebay 上一个住纽约布鲁克林的卖家那买了件东西，他看到我的住址后，发来一条消息 “You live in heaven. Hope you know it !”。难道不是纽约才是 heaven 吗？  ,无,无,2019-03-27 05:01,微博 weibo.com,5,3,3
HmfWHko9Y,创业是九死一生，而我又非常看好区块链这个领域，所以不求速生速灭，而愿稳扎稳打。钦此。  ,无,无,2019-03-23 16:38,iPhone 6,48,12,5
Hm4o6yPSG,蓝道已不在话下。就是个子够不着，到了缆车前就伸出双手示意工作人员抱他上。  原图 ,http://wx2.sinaimg.cn/large/6fc85a2fly1g1becrs5wij20j20pg44a.jpg,无,2019-03-22 11:12,iPhone 6,16,0,0
HlHIR46g2,今天明显感觉到了风的暖意。  原图 ,http://wx2.sinaimg.cn/large/6fc85a2fly1g18man6k2xj21w02ionpf.jpg,无,2019-03-20 01:30,iPhone 6,7,0,6
HlpGvzybF,院子里出现了打前锋的蜜蜂。  ,无,无,2019-03-18 03:35,iPhone 6,3,0,0
Hl9503DHW,温哥华岛上 Courtenay 图书馆一本借出 42 年的书还了回来。在借出的 70 年代，还没有用电脑管理，而手填的资料都不在了，因此图书馆并不知道是谁借的（这里还书都是丢进一个窗口或箱子就可以了）。如果累计的话，逾期的罚款可能会达到 4500 加元，不过岛上最高的罚款是 10 加元。http://t.cn/ExvJJmi  原图 ,http://wx4.sinaimg.cn/large/6fc85a2fly1g14deu9padj20qo0qojuy.jpg,无,2019-03-16 09:19,微博 weibo.com,6,0,1
Hl0Esiaaz,美国海军朱姆沃尔特级驱逐舰首舰 DDG-1000 在维多利亚的加拿大 Esquimalt 海军基地的图片。图源：CTV  [组图共6张] 原图 ,"http://ww4.sinaimg.cn/large/6fc85a2fly1g13c6i9p0uj20sc0fw0vf.jpg,http://ww2.sinaimg.cn/large/6fc85a2fly1g13c6lbs00j20sc0l940s.jpg,http://ww1.sinaimg.cn/large/6fc85a2fly1g13c6pwpc8j20sc0fy41j.jpg,http://ww4.sinaimg.cn/large/6fc85a2fly1g13c6ssnb4j20sc0fy76x.jpg,http://ww4.sinaimg.cn/large/6fc85a2fly1g13c6wwgmuj20sc0fymzw.jpg,http://ww3.sinaimg.cn/large/6fc85a2fly1g13c72biv3j20sc0l9ae3.jpg",无,2019-03-15 11:51,微博 weibo.com,1,0,0
HkwG5FNwS,美国海军的朱姆沃尔特级驱逐舰 —— 就是张将军召忠所说的中国渔民用海带阵就可以俘获的 —— 首舰 DDG-1000 今天抵达维多利亚的加拿大 Esquimalt 海军基地访问。没看到对公众开放的消息。图源：cheknews  [组图共3张] 原图 ,"http://ww2.sinaimg.cn/large/6fc85a2fly1g0znuy5xkqj20xc0eg0ve.jpg,http://ww2.sinaimg.cn/large/6fc85a2fly1g0znv0d349j20pk0gbdhp.jpg,http://ww4.sinaimg.cn/large/6fc85a2fly1g0znv3f00fj20k00f00u0.jpg",无,2019-03-12 07:33,微博 weibo.com,6,0,2
HjL5ts3ci,又下雪了，今年的棉花该长得很好。  ,无,无,2019-03-07 06:24,iPhone 6,5,0,1
HjEAUbtdZ,那时候最爱唱的歌，还弹着吉他。 王自荣的微博视频  ,无,无,2019-03-06 13:52,iPhone 6,5,3,0
HjBl39b1r,位于夏威夷的世界上最大的 30 米光学望远镜将在 2027 年投入使用。它的硬件由多个相互协作的部件组成，而其软件将使用 Akka 来实现多部件之间的通讯，以及容错、数据日志等。http://t.cn/EIluATG  [组图共3张] 原图 ,"http://ww4.sinaimg.cn/large/6fc85a2fly1g0smpt9vu3j20hs0clq3d.jpg,http://ww4.sinaimg.cn/large/6fc85a2fly1g0smpvqhbtj20xc0m8djq.jpg,http://ww3.sinaimg.cn/large/6fc85a2fly1g0smpybhoij20q40hsngh.jpg",无,2019-03-06 05:35,微博 weibo.com,13,10,0
HjbB174pG,一 bug 还未平息，一 bug 又来侵袭，茫茫代码狂风暴雨。一 bug 还来不及，一 bug 早就过去，一生一世如梦初醒。深深太平洋底深深伤心。。。  ,无,无,2019-03-03 12:03,微博 weibo.com,20,8,4
HiYPwakpC,加前司法部长 Jody Wilson-Raybould 在国会就魁省建筑业巨头 SNC Lavalin 涉嫌欺诈和腐败一案作证，并透露杜鲁多和其他高官曾向她施压，包括强调自己就在可能受该案影响的魁省选区。杜鲁多声明不同意 Jody 说法，并强调自己及幕僚行事合理且职业，并无干预司法之举。加拿大人该相信 Jody 还是杜鲁多？  ,无,无,2019-03-02 03:33,微博 weibo.com,1,3,1
HiYLmsdQJ,加拿大联邦司法部正式决定展开美国请求的孟晚舟引渡案件。这意味着该案将进入法官主导的引渡听证阶段。根据安排，下周三 BC 省高等法庭将就该案开庭。加司法部的声明说：“引渡听证不是审判，也不做出有罪或无罪的裁决。”。中国驻加大使馆的最新声明中也表达了对加法律程序的一定尊重。  [组图共2张] 原图 ,"http://ww4.sinaimg.cn/large/6fc85a2fly1g0nzq5viaej20u01nvk60.jpg,http://ww2.sinaimg.cn/large/6fc85a2fly1g0nzxjajscj20pa05rmyv.jpg",无,2019-03-02 03:22,微博 weibo.com,1,2,1
HiYGgfDso,特朗普透露，当他在峰会期间向朝方官员询问宁边试验场外的另一个核原料生产设施时，朝方对美方知道的东西感到十分“意外”。国际社会目前确定知道朝鲜在宁边试验场生产制造核武器所需要的钚元素，但朝鲜据报可以在另外两个地点生产另一种核武器材料：铀。—— BBC  ,无,无,2019-03-02 03:10,微博 weibo.com,1,0,1
HiYxdst69,浣熊在草地上脱了一地的毛，且费了点劲才捡完。  [组图共2张] 原图 ,"http://ww3.sinaimg.cn/large/6fc85a2fly1g0nvfb4gnnj21w02io1l1.jpg,http://ww2.sinaimg.cn/large/6fc85a2fly1g0nvffj6fqj22io1w04qq.jpg",无,2019-03-02 02:48,iPhone 6,2,1,1
